Source	Contributors	VarID	Variable	Value	Description	Meta	Level	CellTissue	TissueContext	Complex	Dimensions	IndividualLevelData	Entrez	CHEBI	MP	MPLabel	EFO	EFOLabel	VarWithinD	VarDvsCTRL	Relevance	Levels	Method	MethodCitation	MethodDetails	PrivateNote	Note	DataSource	DataSourceLink
PMID28323930	Lam et al. (2017)	Lam17_TUNEL.Ins.cells	TUNEL.Ins.cells	%	Quantification of beta cell turnover by measurement of TUNEL+ Ins+ beta-cells and reported as % total cells	beta cell neogenesis	cell	type B pancreatic cell	islet of Langerhans	0	1	Yes	NA						0	0			immunostaining	Lam et al. (2017)				Supplemental Table 10: Beta-cell death.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Ins.cells	Ins.cells	count	Count of beta cells		cell	type B pancreatic cell	islet of Langerhans	0	1	Yes	NA		MP:0020578	abnormal pancreatic beta cell number			1	1			immunostaining	Lam et al. (2017)				Supplemental Table 4: Non-diabetic beta-cell area and mass. & Supplemental Table 5: T1D beta-cell area and mass.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Ki67.Ins.cells	Ki67.Ins.cells	%	Quantification of beta cell proliferation by Ki67+ staining and reported as % of total cells	beta cell neogenesis	cell	type B pancreatic cell	islet of Langerhans	0	1	Yes	NA		MP:0011818	abnormal pancreatic beta cell proliferation			0	0			immunostaining	Lam et al. (2017)				Supplemental Table 7: Individual ?-cell and acinar cell proliferation from non-diabetic pancreata. & Supplemental Table 8: Individual ?-cell and acinar cell proliferation from T1D pancreta.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Arx.cells	Arx.cells	count	Count of acinar cells		cell	pancreatic acinar cell	islet of Langerhans	0	1	Yes	NA		MP:0009155	pancreatic acinar hyperplasia			0	0			immunostaining	Lam et al. (2017)				Supplemental Table 7: Individual ?-cell and acinar cell proliferation from non-diabetic pancreata. & Supplemental Table 8: Individual ?-cell and acinar cell proliferation from T1D pancreta.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Ki67.Arx.cells	Ki67.Arx.cells	%	Quantification of acinar cell proliferation by Ki67+ staining and reported as % of total cells	beta cell neogenesis	cell	pancreatic acinar cell	islet of Langerhans	0	1	Yes	NA		MP:0009155	pancreatic acinar hyperplasia			0	0			immunostaining	Lam et al. (2017)				Supplemental Table 7: Individual ?-cell and acinar cell proliferation from non-diabetic pancreata. & Supplemental Table 8: Individual ?-cell and acinar cell proliferation from T1D pancreta.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Nkx61.Arx.cells	Nkx61.Arx.cells	%	Quantification of islet ductal neogenesis by staining for Nkx6.1+/Arx+ cells and reported as % total cells	beta cell neogenesis	cell	pancreatic ductal cell	islet of Langerhans	0	1	Yes	NA						0	0			immunostaining	Lam et al. (2017)	Islet images were classified into three possible categories: (1) solitary insulin-positive ? cell in duct; (2) insulin-positive islet in duct; and (3) insulin-positive islets not associated with ducts. Results were quantified per individual and expressed as percent total islets.			Supplemental Table 12: No evidence of ?-cell Neogenesis in T1D Pancreata.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_Ins.Gcg.cells	Ins.Gcg.cells	count	Number of insulin-glucagon coexpressing cells	beta cell dedifferentiation	cell	other	islet of Langerhans	0	1	Yes	NA						0	0			immunostaining	Lam et al. (2017)				Supplemental Table 13: Insulin-glucagon coexpressing cells from non-diabetic and T1D samples.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_beta.area	beta.area	%	Beta cell area reported as % total pancreas sections analyzed		cell	type B pancreatic cell	islet of Langerhans	0	1	Yes	NA		MP:0020578	abnormal pancreatic beta cell number			1	1			immunostaining	Lam et al. (2017)				Supplemental Table 4: Non-diabetic beta-cell area and mass. & Supplemental Table 5: T1D beta-cell area and mass.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930	Lam et al. (2017)	Lam17_beta.mass	beta.mass	g	Beta cell mass in grams		cell	type B pancreatic cell	islet of Langerhans	0	1	Yes	NA		MP:0009112	abnormal pancreatic beta cell mass			1	1			immunostaining	Lam et al. (2017)	Calculated from area stained and adjusted by known pancreas weight.			Supplemental Table 4: Non-diabetic beta-cell area and mass. & Supplemental Table 5: T1D beta-cell area and mass.	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28213757	Willcox et al. (2017)	Willcox17_germinal.c.freq	germinal.c.freq	%	Percent follicles with germinal center		cell	germinal center	pancreatic lymph node	0	1	Contact authors	NA						1	1			immunostaining	Willcox et al. (2017)				Fig. 3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5487689/figure/Fig3/
PMID28154952	Martin et al. (2017)	Martin17_Nitrotyrosine	Nitrotyrosine	%	Nitrotyrosine expression as percentage of insulin-positive islets with nitrotyrosine staining		protein	islet of Langerhans	islet of Langerhans	0	1	Yes	NA						1	1	Nitrotyrosine immunostaining is independent of the presence and severity of insulitis		immunostaining	Martin et al. (2017)				Fig 4: Non-diabetic autoantibody-negative nPOD cases showing the percentage of insulin-positive islets with nitrotyrosine. & Fig 6: Non-diabetic autoantibody-positive nPOD cases showing the percentage of insulin-positive islets with nitrotyrosine.	https://link.springer.com/article/10.1007%2Fs00418-016-1533-5#Fig4|https://link.springer.com/article/10.1007%2Fs00418-016-1533-5#Fig6
PMID28137793	Rodriguez-Calvo et al. (2017)	RodriguezCalvo17_Ins	Ins	%	Measured by staining and reported as % positive area		protein	islet of Langerhans	islet of Langerhans	0	1	Contact authors	NA							NA			immunostaining	Rodriguez-Calvo et al. (2017)					http://diabetes.diabetesjournals.org/content/diabetes/66/5/1334/F1.large.jpg?width=800&height=600&carousel=1
PMID28137793	Rodriguez-Calvo et al. (2017)	RodriguezCalvo17_Proins	Proins	%	Measured by staining and reported as % positive area		protein	islet of Langerhans	islet of Langerhans	0	1	Contact authors	NA							1			immunostaining	Rodriguez-Calvo et al. (2017)					http://diabetes.diabetesjournals.org/content/diabetes/66/5/1334/F1.large.jpg?width=800&height=600&carousel=1
PMID28137793	Rodriguez-Calvo et al. (2017)	RodriguezCalvo17_Gcg	Gcg	%	Measured by staining and reported as % positive area		protein	islet of Langerhans	islet of Langerhans	0	1	Contact authors	NA							NA			immunostaining	Rodriguez-Calvo et al. (2017)					http://diabetes.diabetesjournals.org/content/diabetes/66/5/1334/F1.large.jpg?width=800&height=600&carousel=1
PMID28119693	Graves et al. (2016)	Graves16_BD2	BD2	Delta CT value [gene of interest (GOI)—18S]	Expression of antimicrobial peptide beta-defensin 2 (BD-2) in duodenal tissue		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F1/
PMID28119693	Graves et al. (2016)	Graves16_IL17C	IL17C	Delta CT value [gene of interest (GOI)—18S]	Expression of antimicrobial peptide beta-defensin 2 (BD-2) in duodenal tissue		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F1/
PMID28119693	Graves et al. (2016)	Graves16_TSLP	TSLP	Delta CT value [gene of interest (GOI)—18S]	Expression of thymic stromal lymphopoietin (TSLP) in duodenal tissue		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F1/
PMID28119693	Graves et al. (2016)	Graves16_TLR5	TLR5	Delta CT value [gene of interest (GOI)—18S]	Expression of antimicrobial peptide beta-defensin 2 (BD-2) in duodenal tissue		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F1/
PMID28119693	Graves et al. (2016)	Graves16_IL10	IL10	pg/ml	Protein expression of IL-10 in duodenal tissue		protein	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F1/
PMID28119693	Graves et al. (2016)	Graves16_freq.CD3	freq.CD3	% viable CD3+	Frequency of CD3+ T-cells in duodenal tissue		cell	T cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.CD4	freq.CD4	% CD4+ (of alpha/beta+ viable CD3+)	Frequency of CD4+ T-cells in duodenal tissue		cell	CD4-positive, alpha-beta T cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.CD8	freq.CD8	% CD8+ (of alpha/beta+ viable CD3+)	Frequency of CD8+ T-cells in duodenal tissue		cell	CD8-positive, alpha-beta T cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.Treg	freq.Treg	% CD4+FOXP3+	Frequency of CD4+FOXP3+ T-cells (Tregs) in duodenal tissue		cell	regulatory T cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.Th1	freq.Th1	% CD4+CXCR3+	Frequency of CD4+CXCR3+ (Th1) T-cells in duodenal tissue		cell	T-helper 1 cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.Tc1	freq.Tc1	% CD8+CXCR3+	Frequency of CD8+CXCR3+ (Tc1) T-cells in duodenal tissue		cell	Tc1 cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F3/
PMID28119693	Graves et al. (2016)	Graves16_freq.ILC1	freq.ILC1	% CD127+NKp44−CD117− cells	Frequency of type 1 innate lymphoid cells (ILC1) of in duodenal tissues		cell	ILC1	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F2/
PMID28119693	Graves et al. (2016)	Graves16_freq.ILC3	freq.ILC3	% CD127+CD117+NKp44+/− cells	Frequency of ILC3 cells in duodenal tissues		cell	group 3 innate lymphoid cell	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5222791/figure/F2/
PMID28119693	Graves et al. (2016)	Graves16_BD2.IEC	BD2.IEC	Delta CT value [gene of interest (GOI)—18S]	Expression of BD-2 in unstimulated intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_IL17C.IEC	IL17C.IEC	Delta CT value [gene of interest (GOI)—18S]	Expression of IL-17C in unstimulated intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_TSLP.IEC	TSLP.IEC	Delta CT value [gene of interest (GOI)—18S]	Expression of TSLP in unstimulated intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_TLR5.IEC	TLR5.IEC	Delta CT value [gene of interest (GOI)—18S]	Expression in ofTLR5 unstimulated intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_IL10.IEC	IL10.IEC	Delta CT value [gene of interest (GOI)—18S]	Expression of IL10 in unstimulated intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_BD2.IECx	BD2.IECx	Delta CT value [gene of interest (GOI)—18S]	Expression of BD-2 in conditioned intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_IL17C.IECx	IL17C.IECx	Delta CT value [gene of interest (GOI)—18S]	Expression of IL-17C in conditioned intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_TSLP.IECx	TSLP.IECx	Delta CT value [gene of interest (GOI)—18S]	Expression of TSLP in conditioned intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_TLR5.IECx	TLR5.IECx	Delta CT value [gene of interest (GOI)—18S]	Expression of TLR5 in conditioned intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28119693	Graves et al. (2016)	Graves16_IL10.IECx	IL10.IECx	Delta CT value [gene of interest (GOI)—18S]	Expression of IL10 in conditioned intestinal epithelial cell cultures		transcript	duodenum	duodenum	0	1	Contact authors	NA							NA				Graves et al. (2016)					
PMID28094469	Kirk et al. (2017)	Kirk17_GLP1R.prct.acinar	GLP1R.prct.acinar	%	GLP-1R+ cells in or near ducts (% of total duct cells)		protein	pancreatic ductal cell	islet of Langerhans	0	1	Yes	NA						1	1			immunostaining	Kirk et al. (2017)	A software-based automated image analysis algorithm was used for quantitating intensities and area fractions of GLP-1R positive compartments.			Table 2: GLP-1R expression levels.	https://onlinelibrary.wiley.com/doi/epdf/10.1111/dom.12879
PMID28094469	Kirk et al. (2017)	Kirk17_GLP1R.prct.islets	GLP1R.prct.islets	%	GLP-1R+ cells in islets (% of total pancreas area)		protein	pancreatic ductal cell	islet of Langerhans	0	1	Yes	NA						1	1	Glucagon-like peptide-1 (GLP-1) has beta-cell protective effects and can be assessed by a new monoclonal antibody in pancreatic tissue		immunostaining	Kirk et al. (2017)				Table 2: GLP-1R expression levels.	https://onlinelibrary.wiley.com/doi/epdf/10.1111/dom.12879
PMID28094469	Kirk et al. (2017)	Kirk17_GLP1R.acinar	GLP1R.acinar		Average intensity of GLP-1R+ acinar cells		protein	pancreatic acinar cell	islet of Langerhans	0	1	Yes	NA						1	1			immunostaining	Kirk et al. (2017)				Table 2: GLP-1R expression levels.	https://onlinelibrary.wiley.com/doi/epdf/10.1111/dom.12879
PMID28094469	Kirk et al. (2017)	Kirk17_GLP1R.islet	GLP1R.islet		Average intensity of GLP-1R+ cells in islets		protein	islet of Langerhans	islet of Langerhans	0	1	Yes	NA						1	1			immunostaining	Kirk et al. (2017)				Table 2: GLP-1R expression levels.	https://onlinelibrary.wiley.com/doi/epdf/10.1111/dom.12879
PMID27942583	Seay et al. (2016)	Seay16_Immunosequencing	Immunosequencing		High-throughput immunosequencing data		peptide			1	2000	Yes	NA						1	1			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies			nPOD TCR/BCR Search	http://clonesearch.jdrfnpod.org/
PMID27942583	Seay et al. (2016)	Seay16_Bcell.PBMC.PC	Bcell.PBMC.PC		Productive clonality (PC) of purified B cells from blood		phenotype	B cell	blood	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Bcell.Spleen.PC	Bcell.Spleen.PC		Productive clonality (PC) of purified B cells from spleen		phenotype	B cell	spleen	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Bcell.iLN.PC	Bcell.iLN.PC		Productive clonality (PC) of purified B cells from “irrelevant” nonpancreatic draining lymph nodes		phenotype	B cell	mesenteric lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Bcell.pLN.PC	Bcell.pLN.PC		Productive clonality (PC) of purified B cells from pancreatic draining lymph nodes		phenotype	B cell	pancreatic lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD4Tcell.Intraislet.PC	CD4Tcell.Intraislet.PC		Productive clonality (PC) of purified CD4 T cells from islet tissue		phenotype	CD4-positive, alpha-beta T cell	islet of Langerhans	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD8Tcell.Intraislet.PC	CD8Tcell.Intraislet.PC		Productive clonality (PC) of purified CD8 T cells from islet tissue		phenotype	CD8-positive, alpha-beta T cell	islet of Langerhans	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD8Tcell.PBMC.PC	CD8Tcell.PBMC.PC		Productive clonality (PC) of purified CD8 T cells from blood		phenotype	CD8-positive, alpha-beta T cell	blood	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD8Tcell.Spleen.PC	CD8Tcell.Spleen.PC		Productive clonality (PC) of purified CD8 T cells from spleen		phenotype	CD8-positive, alpha-beta T cell	spleen	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD8Tcell.iLN.PC	CD8Tcell.iLN.PC		Productive clonality (PC) of purified CD8 T cells from “irrelevant” nonpancreatic draining lymph nodes		phenotype	CD8-positive, alpha-beta T cell	mesenteric lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_CD8Tcell.pLN.PC	CD8Tcell.pLN.PC		Productive clonality (PC) of purified CD8 T cells from pancreatic draining lymph nodes		phenotype	CD8-positive, alpha-beta T cell	pancreatic lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Tconv.PBMC.PC	Tconv.PBMC.PC		Productive clonality (PC) of purified CD4+ conventional T cells from blood		phenotype	CD4-positive, alpha-beta T cell	blood	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Tconv.Spleen.PC	Tconv.Spleen.PC		Productive clonality (PC) of purified CD4+ conventional T cells from spleen		phenotype	CD4-positive, alpha-beta T cell	spleen	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Tconv.iLN.PC	Tconv.iLN.PC		Productive clonality (PC) of purified CD4+ conventional T cells from “irrelevant” nonpancreatic draining lymph nodes		phenotype	CD4-positive, alpha-beta T cell	mesenteric lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
PMID27942583	Seay et al. (2016)	Seay16_Tconv.pLN.PC	Tconv.pLN.PC		Productive clonality (PC) of purified CD4+ conventional T cells from pancreatic draining lymph nodes		phenotype	CD4-positive, alpha-beta T cell	pancreatic lymph node	0	1	Yes	NA							NA			DNA sequencing assay	Seay et al. (2016)	immunoSEQ assay from Adaptive Biotechnologies				
